City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
601,Vao,NC,-22.6667,167.4833,77.45,87,100,9.86,light rain
602,Matay,EG,28.419,30.7792,60.15,67,0,12.53,clear sky
603,Zupanja,HR,45.0775,18.6975,37.38,90,88,5.88,overcast clouds
604,Grand-Santi,GF,4.25,-54.3833,75.87,77,100,1.95,overcast clouds
605,Belyy Yar,RU,53.6039,91.3903,-18.51,60,75,0.0,mist
606,Turbat,PK,26.0023,63.044,68.54,27,0,6.02,clear sky
607,Khani,GE,41.9563,42.9566,36.97,88,100,4.79,overcast clouds
608,Robinson,US,31.4677,-97.1147,78.21,69,20,19.57,few clouds
609,Kurilsk,RU,45.2333,147.8833,30.63,76,99,15.14,light snow
610,Ankara,TR,39.9199,32.8543,40.21,79,0,5.75,clear sky
611,Richards Bay,ZA,-28.783,32.0377,69.37,79,100,15.17,light rain
612,Giaveno,IT,45.047,7.3492,42.87,84,18,7.18,few clouds
613,Junin,AR,-34.5838,-60.9433,98.89,15,0,10.69,clear sky
614,Tucuman,AR,-26.8241,-65.2226,98.6,20,40,10.36,scattered clouds
615,Havelock,US,34.8791,-76.9013,57.16,80,75,9.22,broken clouds
616,Golden Gate,US,26.1879,-81.6951,82.47,64,0,10.36,clear sky
617,Orthez,FR,43.4884,-0.7724,47.64,72,100,3.2,overcast clouds
618,Beirut,LB,33.8889,35.4944,61.54,59,20,5.75,few clouds
619,Bireun,ID,5.203,96.7009,77.13,84,100,4.43,overcast clouds
620,Mehamn,NO,71.0357,27.8492,37.35,93,75,16.11,broken clouds
621,Poltavka,RU,54.3663,71.7632,-5.91,98,67,2.35,broken clouds
622,Malanville,BJ,11.8685,3.3899,79.07,20,79,9.31,broken clouds
623,Puerto El Triunfo,SV,13.2833,-88.55,82.49,62,75,7.83,broken clouds
624,Milicz,PL,51.5277,17.2714,41.54,85,100,3.62,overcast clouds
625,Whithorn,JM,18.2604,-78.0378,79.45,64,5,9.24,clear sky
626,Itarema,BR,-2.9248,-39.9167,79.65,78,16,18.19,few clouds
627,Tello,CO,3.0669,-75.1378,84.61,77,40,3.04,scattered clouds
628,Ambulu,ID,-8.345,113.6058,74.98,87,99,1.81,overcast clouds
629,Fonte Boa,BR,-2.4959,-66.2662,81.19,77,84,2.44,moderate rain
630,Maceio,BR,-9.6658,-35.7353,76.44,94,75,10.36,broken clouds
631,Rucheng,CN,32.3883,120.5553,37.0,77,0,3.29,clear sky
632,Channel-Port Aux Basques,CA,47.5702,-59.1367,33.46,61,10,3.13,clear sky
633,Garmsar,IR,35.2182,52.3409,42.73,78,100,1.59,overcast clouds
634,Cardoso,BR,-20.0819,-49.9142,77.4,65,92,1.79,overcast clouds
635,Paamiut,GL,61.994,-49.6678,37.47,77,100,34.76,overcast clouds
636,Erzurum,TR,40.0,41.5,24.48,86,35,3.56,scattered clouds
637,Chapais,CA,49.7834,-74.8492,22.78,90,96,4.65,overcast clouds
638,Daru,PG,-9.0763,143.2092,80.92,76,99,10.22,overcast clouds
639,Aksu,CN,41.1231,80.2644,23.36,34,87,3.22,overcast clouds
640,Mariel,CU,22.9875,-82.7536,80.74,62,5,14.09,moderate rain
641,Meybod,IR,32.2501,54.0166,43.29,56,15,9.01,few clouds
642,Lokosovo,RU,61.1333,74.8167,2.91,98,93,6.8,overcast clouds
